<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,26/09/18,10:01,115560.0000000,115950.0000000,115410.0000000,115750.0000000,4070
SPFB.RTS-12.18,1,26/09/18,10:02,115760.0000000,115800.0000000,115710.0000000,115710.0000000,1881
SPFB.RTS-12.18,1,26/09/18,10:03,115710.0000000,115760.0000000,115670.0000000,115730.0000000,1061
SPFB.RTS-12.18,1,26/09/18,10:04,115740.0000000,115770.0000000,115650.0000000,115650.0000000,1154
SPFB.RTS-12.18,1,26/09/18,10:05,115660.0000000,115740.0000000,115540.0000000,115560.0000000,1478
SPFB.RTS-12.18,1,26/09/18,10:06,115570.0000000,115650.0000000,115540.0000000,115630.0000000,817
SPFB.RTS-12.18,1,26/09/18,10:07,115640.0000000,115680.0000000,115600.0000000,115660.0000000,507
SPFB.RTS-12.18,1,26/09/18,10:08,115660.0000000,115720.0000000,115640.0000000,115680.0000000,631
SPFB.RTS-12.18,1,26/09/18,10:09,115690.0000000,115750.0000000,115640.0000000,115660.0000000,946
SPFB.RTS-12.18,1,26/09/18,10:10,115650.0000000,115690.0000000,115620.0000000,115640.0000000,449
SPFB.RTS-12.18,1,26/09/18,10:11,115640.0000000,115700.0000000,115600.0000000,115600.0000000,408
SPFB.RTS-12.18,1,26/09/18,10:12,115600.0000000,115750.0000000,115570.0000000,115720.0000000,958
SPFB.RTS-12.18,1,26/09/18,10:13,115740.0000000,115770.0000000,115660.0000000,115710.0000000,975
SPFB.RTS-12.18,1,26/09/18,10:14,115730.0000000,115820.0000000,115710.0000000,115780.0000000,1212
SPFB.RTS-12.18,1,26/09/18,10:15,115780.0000000,115790.0000000,115730.0000000,115780.0000000,540
SPFB.RTS-12.18,1,26/09/18,10:16,115770.0000000,115780.0000000,115680.0000000,115740.0000000,670
SPFB.RTS-12.18,1,26/09/18,10:17,115730.0000000,115880.0000000,115690.0000000,115830.0000000,1020
SPFB.RTS-12.18,1,26/09/18,10:18,115830.0000000,115860.0000000,115790.0000000,115830.0000000,664
SPFB.RTS-12.18,1,26/09/18,10:19,115830.0000000,115940.0000000,115810.0000000,115940.0000000,1209
SPFB.RTS-12.18,1,26/09/18,10:20,115940.0000000,115990.0000000,115880.0000000,115900.0000000,1492
SPFB.RTS-12.18,1,26/09/18,10:21,115890.0000000,115940.0000000,115890.0000000,115920.0000000,571
SPFB.RTS-12.18,1,26/09/18,10:22,115900.0000000,115960.0000000,115860.0000000,115860.0000000,789
SPFB.RTS-12.18,1,26/09/18,10:23,115860.0000000,115970.0000000,115860.0000000,115970.0000000,382
SPFB.RTS-12.18,1,26/09/18,10:24,115960.0000000,116040.0000000,115950.0000000,116020.0000000,1121
SPFB.RTS-12.18,1,26/09/18,10:25,116020.0000000,116050.0000000,115950.0000000,115990.0000000,1280
SPFB.RTS-12.18,1,26/09/18,10:26,116000.0000000,116000.0000000,115920.0000000,115920.0000000,419
SPFB.RTS-12.18,1,26/09/18,10:27,115920.0000000,116000.0000000,115920.0000000,115960.0000000,360
SPFB.RTS-12.18,1,26/09/18,10:28,115980.0000000,116040.0000000,115920.0000000,116040.0000000,939
SPFB.RTS-12.18,1,26/09/18,10:29,116040.0000000,116080.0000000,116010.0000000,116040.0000000,1181
SPFB.RTS-12.18,1,26/09/18,10:30,116040.0000000,116130.0000000,116030.0000000,116080.0000000,1621
SPFB.RTS-12.18,1,26/09/18,10:31,116090.0000000,116120.0000000,115990.0000000,116010.0000000,1539
SPFB.RTS-12.18,1,26/09/18,10:32,116000.0000000,116060.0000000,116000.0000000,116030.0000000,459
SPFB.RTS-12.18,1,26/09/18,10:33,116030.0000000,116060.0000000,116000.0000000,116060.0000000,422
SPFB.RTS-12.18,1,26/09/18,10:34,116060.0000000,116080.0000000,116010.0000000,116020.0000000,410
SPFB.RTS-12.18,1,26/09/18,10:35,116020.0000000,116170.0000000,116010.0000000,116140.0000000,2610
