39E,0200,39F,0200,39E,0200,000,039E,0000,0100
39F,EE1C,3A0,EE1C,3BC,0000,000,001C,0000,0100,3BC,0000
3A0,AE19,3A1,AE19,3BA,163A,000,0019,163A,0000
3A1,0700,3A2,0700,3A1,0700,000,03A1,163B,0000
3A2,0C00,3A3,0C00,7FF,163B,7FF,03A2,163B,0000,7FF,163B
3A3,D71F,71F,D71F,7FE,03A4,7FE,D71F,163B,0000,7FE,03A4
71F,AC01,720,AC01,7FF,163B,7FE,0001,163B,0000,
720,F204,721,F204,720,F204,7FE,0720,163B,0000
721,F003,722,F003,721,F003,7FE,0721,163B,0000
722,7E08,723,7E08,72B,0F6C,7FE,0008,163B,0001
723,F004,724,F004,723,F004,7FE,0723,163B,0001
724,F803,725,F803,724,F803,7FE,0724,163B,0001
725,4C01,726,4C01,7FF,163B,7FE,0001,2C76,0000
726,6E05,727,6E05,72C,00C1,7FE,0005,2BB5,0001
727,CE01,729,CE01,727,0729,7FE,0001,2BB5,0001
729,EC01,72A,EC01,7FF,2BB5,7FE,0001,2BB5,0001,7FF,2BB5
72A,0A00,3A4,0A00,7FE,03A4,7FF,072A,2BB5,0001
3A4,0800,3A5,0800,7FF,2BB5,000,03A4,2BB5,0001
3A5,0700,3A6,0700,3A5,0700,000,03A5,2BB6,0000
3A6,6E15,3A7,6E15,3BC,0000,000,0015,2BB6,0001
3A7,EE14,3A8,EE14,3BC,2BB6,000,0014,2BB6,0001,3BC,2BB6
3A8,AE10,3A9,AE10,3B9,005A,000,0010,005A,0001
3A9,0740,3AA,0740,3A9,0740,000,03A9,0059,0001
3AA,0C00,3AB,0C00,7FF,0059,7FF,03AA,0059,0001,7FF,0059
3AB,D71F,71F,D71F,7FE,03AC,7FE,D71F,0059,0001,7FE,03AC
71F,AC01,720,AC01,7FF,0059,7FE,0001,0059,0001
720,F204,721,F204,720,F204,7FE,0720,0059,0001
721,F003,722,F003,721,F003,7FE,0721,0059,0001
722,7E08,723,7E08,72B,0F6C,7FE,0008,0059,1000
723,F004,724,F004,723,F004,7FE,0723,0059,1000
724,F803,728,F803,724,F803,7FE,0003,0059,1000
728,AE02,729,AE02,72B,0F6C,7FE,0002,0F6C,0000
729,EC01,72A,EC01,7FF,0F6C,7FE,0001,0F6C,0000,7FF,0F6C
72A,0A00,3AC,0A00,7FE,03AC,7FF,072A,0F6C,0000
3AC,0800,3AD,0800,7FF,0F6C,000,03AC,0F6C,0000
3AD,0740,3AE,0740,3AD,0740,000,03AD,0F6B,0001
3AE,6E0D,3AF,6E0D,3BC,2BB6,000,000D,E3B5,1000
3AF,EE0C,3B0,EE0C,3BC,E3B5,000,000C,E3B5,1000,3BC,E3B5
3B0,AE0A,3B1,AE0A,3BB,FFC8,000,000A,FFC8,1000
3B1,0700,3B2,0700,3B1,0700,000,03B1,FFC9,1000
3B2,0C00,3B3,0C00,7FF,FFC9,7FF,03B2,FFC9,1000,7FF,FFC9
3B3,D71F,71F,D71F,7FE,03B4,7FE,D71F,FFC9,1000,7FE,03B4
71F,AC01,720,AC01,7FF,FFC9,7FE,0001,FFC9,1000
720,F204,725,F204,720,F204,7FE,0004,FFC9,1000
725,4C01,726,4C01,7FF,FFC9,7FE,0001,FF92,1001
726,6E05,727,6E05,72C,00C1,7FE,0005,FED1,1001
727,CE01,729,CE01,727,0729,7FE,0001,FED1,1001
729,EC01,72A,EC01,7FF,FED1,7FE,0001,FED1,1001,7FF,FED1
72A,0A00,3B4,0A00,7FE,03B4,7FF,072A,FED1,1001
3B4,0800,3B5,0800,7FF,FED1,000,03B4,FED1,1001
3B5,0740,3B6,0740,3B5,0740,000,03B5,FED0,1001
3B6,4E05,3B7,4E05,3BC,E3B5,000,0005,E285,1001
3B7,EE04,3B8,EE04,3BC,E285,000,0004,E285,1001,3BC,E285
3B8,0100,3B9,0100,3B8,0100,000,03B8,E285,1001
3B9,005A,3BA,005A,3B9,005A,000,03B9,E285,1001
