\47B\,\AE25\,\47C\,\AE25\,\4A1\,\056A\,\000\,\0025\,\056A\,\0000\,\-\,\-\
\47C\,\EE25\,\47D\,\EE25\,\4A2\,\056A\,\000\,\0025\,\056A\,\0000\,\4A2\,\056A\
\47D\,\DE1B\,\499\,\DE1B\,\7FF\,\047E\,\7FF\,\0499\,\056A\,\0000\,\7FF\,\047E\
\499\,\DE03\,\49D\,\DE03\,\7FE\,\049A\,\7FE\,\049D\,\056A\,\0000\,\7FE\,\049A\
\49D\,\1207\,\49E\,\1207\,\49D\,\1207\,\7FE\,\049D\,\0540\,\0000\,\-\,\-\
\49E\,\2F40\,\49F\,\2F40\,\49E\,\0040\,\7FE\,\0040\,\0040\,\0000\,\-\,\-\
\49F\,\F0FD\,\4A0\,\F0FD\,\49F\,\F0FD\,\7FE\,\049F\,\0040\,\0000\,\-\,\-\
\4A0\,\0A00\,\49A\,\0A00\,\7FE\,\049A\,\7FF\,\04A0\,\0040\,\0000\,\-\,\-\
\49A\,\0200\,\49B\,\0200\,\49A\,\0200\,\7FF\,\049A\,\0000\,\0100\,\-\,\-\
\49B\,\1206\,\49C\,\1206\,\49B\,\1206\,\7FF\,\049B\,\00E4\,\0100\,\-\,\-\
\49C\,\0A00\,\47E\,\0A00\,\7FF\,\047E\,\000\,\049C\,\00E4\,\0100\,\-\,\-\
\47E\,\DE13\,\492\,\DE13\,\7FF\,\047F\,\7FF\,\0492\,\00E4\,\0100\,\7FF\,\047F\
\492\,\0C00\,\493\,\0C00\,\7FE\,\00E4\,\7FE\,\0492\,\00E4\,\0100\,\7FE\,\00E4\
\493\,\A80E\,\494\,\A80E\,\56A\,\0000\,\7FE\,\000E\,\0000\,\0100\,\-\,\-\
\494\,\2E0F\,\495\,\2E0F\,\4A4\,\FF00\,\7FE\,\000F\,\0000\,\0100\,\-\,\-\
\495\,\3C00\,\496\,\3C00\,\7FE\,\00E4\,\7FE\,\FF1B\,\00E4\,\0000\,\-\,\-\
\496\,\E80B\,\497\,\E80B\,\56A\,\00E4\,\7FE\,\000B\,\00E4\,\0000\,\56A\,\00E4\
\497\,\0800\,\498\,\0800\,\7FE\,\00E4\,\7FF\,\0497\,\00E4\,\0000\,\-\,\-\
